Pos,Name,,Finish,time,,,Diff,,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,Name
PAPO,Canterbury,3,(19),9.29,(21),13.02,(19),18.23,(20),23.59,(19),29.36,(19),31.51,(19),35.38,(19),40.14,(19),42.46,(19),52.01,(19),57.55,(16),1:01.24,(16),1:08.09,(16),1:12.47,(16),1:14.21,(16),PAPO,Canterbury,,,,,,
17,Selena,Metherell,1:14.55,30.16,2.22,(11),5.49,(15),3.15,(12),5.15,(16),5.55,(21),5.42,(16),2.01,(8),3.03,(16),5.2,(24),2.36,(17),9.51,(24),7.34,(22),3.2,(14),6.1,(14),5.1,(21),1.32,(18),Selena,Metherell,,,
PAPO,Canterbury,2.22,(11),8.11,(12),11.26,(12),16.41,(13),22.36,(16),28.18,(16),30.19,(14),33.22,(14),38.42,(15),41.18,(15),51.09,(17),58.43,(18),1:02.03,(17),1:08.13,(17),1:13.23,(17),1:14.55,(17),PAPO,Canterbury,,,,,,
18,Bruce,Steven,1:15.04,30.25,2.29,(12),5.44,(14),3.29,(14),6.24,(20),5.28,(16),5.35,(13),2.12,(12),2.55,(13),4.43,(19),2.39,(18),10.03,(25),8.11,(23),3.59,(20),5.59,(12),3.55,(10),1.19,(12),Bruce,Steven,,,
PAPO,Canterbury,2.29,(12),8.13,(13),11.42,(15),18.06,(18),23.34,(18),29.09,(18),31.21,(17),34.16,(16),38.59,(17),41.38,(18),51.41,(18),59.52,(20),1:03.51,(19),1:09.50,(18),1:13.45,(18),1:15.04,(18),PAPO,Canterbury,,,,,,
19,Dave,Armstrong,1:16.19,31.4,2.47,(16),6.08,(17),5.17,(26),6.36,(22),6.42,(26),6.39,(20),2.12,(12),2.56,(14),4.47,(21),2.39,(18),7.29,(10),6.14,(18),4.17,(23),5.45,(11),4.27,(15),1.24,(15),Dave,Armstrong,,,
PAPO,Canterbury,2.47,(16),8.55,(17),14.12,(21),20.48,(21),27.3,(21),34.09,(21),36.21,(21),39.17,(21),44.04,(21),46.43,(21),54.12,(21),1:00.26,(21),1:04.43,(20),1:10.28,(19),1:14.55,(19),1:16.19,(19),PAPO,Canterbury,,,,,,
20,Ben,Ludgate,1:18.16,33.37,2.33,(14),5.53,(16),2.37,(5),6.37,(23),5.25,(15),5.35,(13),2.09,(11),3.14,(17),4.36,(17),2.4,(21),8.48,(16),8.18,(25),4.07,(21),9.55,(25),4.41,(18),1.08,(5),Ben,Ludgate,,,
DOC,Otago,2.33,(14),8.26,(14),11.03,(10),17.4,(17),23.05,(17),28.4,(17),30.49,(16),34.03,(15),38.39,(14),41.19,(16),50.07,(15),58.25,(17),1:02.32,(18),1:12.27,(20),1:17.08,(20),1:18.16,(20),DOC,Otago,,,,,,
21,Mike,Harding,1:23.01,38.22,3.02,(22),6.14,(18),3.54,(19),5.06,(13),6,(23),6.04,(19),2.28,(18),3.47,(22),3.52,(13),2.52,(22),9.24,(21),6.07,(15),10.2,(26),6.54,(18),5.43,(22),1.14,(7),Mike,Harding,,,
PAPO,Canterbury,3.02,(22),9.16,(20),13.1,(20),18.16,(19),24.16,(20),30.2,(20),32.48,(20),36.35,(20),40.27,(20),43.19,(20),52.43,(20),58.5,(19),1:09.10,(21),1:16.04,(21),1:21.47,(21),1:23.01,(21),PAPO,Canterbury,,,,,,
22,Di,Liddell,1:25.44,41.05,7.15,(26),7.38,(24),4.57,(25),6.05,(19),5.42,(20),7.12,(23),2.26,(17),3.47,(22),4.44,(20),2.33,(16),8.42,(15),6.18,(19),3.31,(18),6.53,(17),5.5,(23),2.11,(26),Di,Liddell,,,
DOC,Otago,7.15,(26),14.53,(26),19.5,(26),25.55,(26),31.37,(26),38.49,(24),41.15,(24),45.02,(24),49.46,(24),52.19,(24),1:01.01,(22),1:07.19,(22),1:10.50,(22),1:17.43,(22),1:23.33,(22),1:25.44,(22),DOC,Otago,,,,,,
23,Lara,Scott,1:28.26,43.47,3,(19),8.42,(26),4.56,(24),6.41,(24),6.41,(24),6.43,(21),3.02,(24),3.46,(20),5.39,(26),2.53,(23),9.38,(23),6.46,(20),4.4,(24),7.41,(22),5.51,(24),1.47,(23),Lara,Scott,,,
PAPO,Canterbury,3,(19),11.42,(23),16.38,(24),23.19,(24),30,(25),36.43,(23),39.45,(23),43.31,(23),49.1,(23),52.03,(23),1:01.41,(23),1:08.27,(24),1:13.07,(24),1:20.48,(23),1:26.39,(24),1:28.26,(23),PAPO,Canterbury,,,,,,
23,Jonathan,Wood,1:28.26,43.47,3.22,(23),7.31,(23),4.01,(20),7.25,(26),5.59,(22),7.21,(24),2.53,(22),3.37,(19),5.04,(23),2.53,(23),12.19,(26),5.43,(11),4.12,(22),9.12,(24),4.54,(19),2,(24),Jonathan,Wood,,,
DOC,Otago,3.22,(23),10.53,(22),14.54,(22),22.19,(22),28.18,(22),35.39,(22),38.32,(22),42.09,(22),47.13,(22),50.06,(22),1:02.25,(24),1:08.08,(23),1:12.20,(23),1:21.32,(24),1:26.26,(23),1:28.26,(23),DOC,Otago,,,,,,
25,Simon,Cullen,1:28.51,44.12,6,(25),8.37,(25),3.2,(13),5.43,(18),5.36,(17),12.04,(26),3.53,(25),4.44,(25),4.49,(22),3.02,(25),9.28,(22),6.07,(15),3.4,(19),5.59,(12),4.27,(15),1.22,(13),Simon,Cullen,,,
DOC,Otago,6,(25),14.37,(25),17.57,(25),23.4,(25),29.16,(23),41.2,(25),45.13,(26),49.57,(26),54.46,(26),57.48,(26),1:07.16,(26),1:13.23,(25),1:17.03,(25),1:23.02,(25),1:27.29,(25),1:28.51,(25),DOC,Otago,,,,,,
26,Jeni,Pelvin,1:38.48,54.09,4.38,(24),7.14,(22),4.26,(22),6.47,(25),6.41,(24),12,(25),2.44,(21),3.3,(18),5.27,(25),3.49,(26),9.09,(18),8.15,(24),6.08,(25),9.02,(23),7.14,(26),1.44,(22),Jeni,Pelvin,,,
DOC,Otago,4.38,(24),11.52,(24),16.18,(23),23.05,(23),29.46,(24),41.46,(26),44.3,(25),48,(25),53.27,(25),57.16,(25),1:06.25,(25),1:14.40,(26),1:20.48,(26),1:29.50,(26),1:37.04,(26),1:38.48,(26),DOC,Otago,,,,,,
